Type,Name,District,Weather Type ,Category,Budget
Religious Places,Gangaramaya Temple,Colombo,Tropical,Temple,Free
Religious Places,Gangaramaya Temple,Colombo,Tropical,Temple,Free
Religious Places,Gangaramaya Temple,Colombo,Tropical,Temple,Free
Religious Places,Gangaramaya Temple,Colombo,Tropical,Temple,Free
Religious Places,Gangaramaya Temple,Colombo,Tropical,Temple,Free
Religious Places,Gangaramaya Temple,Colombo,Tropical,Temple,Free
Religious Places,Gangaramaya Temple,Colombo,Tropical,Temple,Free
Religious Places,Gangaramaya Temple,Colombo,Tropical,Temple,Free
Religious Places,Gangaramaya Temple,Colombo,Tropical,Temple,Free
Religious Places,Gangaramaya Temple,Colombo,Tropical,Temple,Free
Religious Places,Gangaramaya Temple,Colombo,Tropical,Temple,Free
Religious Places,Gangaramaya Temple,Colombo,Tropical,Temple,Free
Religious Places,Gangaramaya Temple,Colombo,Tropical,Temple,Free
Religious Places,Gangaramaya Temple,Colombo,Tropical,Temple,Free
Religious Places,Gangaramaya Temple,Colombo,Tropical,Temple,Free
Religious Places,Gangaramaya Temple,Colombo,Tropical,Temple,Free
Religious Places,Gangaramaya Temple,Colombo,Tropical,Temple,Free
Religious Places,Gangaramaya Temple,Colombo,Tropical,Temple,Free
Religious Places,Gangaramaya Temple,Colombo,Tropical,Temple,Free
Tourist Place,Sigiriya Rock Fortress,Matale,Tropical,Garden,Medium
Tourist Place,Sigiriya Rock Fortress,Matale,Tropical,Garden,Medium
Tourist Place,Sigiriya Rock Fortress,Matale,Tropical,Garden,Medium
Tourist Place,Sigiriya Rock Fortress,Matale,Tropical,Garden,Medium
Tourist Place,Sigiriya Rock Fortress,Matale,Tropical,Garden,Medium
Tourist Place,Sigiriya Rock Fortress,Matale,Tropical,Garden,Medium
Tourist Place,Sigiriya Rock Fortress,Matale,Tropical,Garden,Medium
Tourist Place,Sigiriya Rock Fortress,Matale,Tropical,Garden,Medium
Tourist Place,Sigiriya Rock Fortress,Matale,Tropical,Garden,Medium
Tourist Place,Sigiriya Rock Fortress,Matale,Tropical,Garden,Medium
Tourist Place,Sigiriya Rock Fortress,Matale,Tropical,Garden,Medium
Tourist Place,Sigiriya Rock Fortress,Matale,Tropical,Garden,Medium
Tourist Place,Sigiriya Rock Fortress,Matale,Tropical,Garden,Medium
Tourist Place,Sigiriya Rock Fortress,Matale,Tropical,Garden,Medium
Tourist Place,Sigiriya Rock Fortress,Matale,Tropical,Garden,Medium
Tourist Place,Sigiriya Rock Fortress,Matale,Tropical,Garden,Medium
Tourist Place,Sigiriya Rock Fortress,Matale,Tropical,Garden,Medium
Tourist Place,Sigiriya Rock Fortress,Matale,Tropical,Garden,Medium
Tourist Place,Sigiriya Rock Fortress,Matale,Tropical,Garden,Medium
Tourist Place,Sigiriya Rock Fortress,Matale,Tropical,Garden,Medium
Tourist Place,Galle Fort,Galle,Dry,Fort,Free
Tourist Place,Galle Fort,Galle,Dry,Fort,Free
Tourist Place,Galle Fort,Galle,Dry,Fort,Free
Tourist Place,Galle Fort,Galle,Dry,Fort,Free
Tourist Place,Galle Fort,Galle,Dry,Fort,Free
Tourist Place,Galle Fort,Galle,Dry,Fort,Free
Tourist Place,Galle Fort,Galle,Dry,Fort,Free
Tourist Place,Galle Fort,Galle,Dry,Fort,Free
Tourist Place,Galle Fort,Galle,Dry,Fort,Free
Tourist Place,Galle Fort,Galle,Dry,Fort,Free
Tourist Place,Galle Fort,Galle,Dry,Fort,Free
Tourist Place,Galle Fort,Galle,Dry,Fort,Free
Tourist Place,Galle Fort,Galle,Dry,Fort,Free
Tourist Place,Galle Fort,Galle,Dry,Fort,Free
Tourist Place,Galle Fort,Galle,Dry,Fort,Free
Tourist Place,Galle Fort,Galle,Dry,Fort,Free
Tourist Place,Galle Fort,Galle,Dry,Fort,Free
Tourist Place,Galle Fort,Galle,Dry,Fort,Free
Tourist Place,Galle Fort,Galle,Dry,Fort,Free
Tourist Place,Galle Fort,Galle,Dry,Fort,Free
Religious Places,"Dambulla Cave Temple, Kandy - Jaffna Highway, Dambulla",Matale,Tropical,Temple,Low
Religious Places,"Dambulla Cave Temple, Kandy - Jaffna Highway, Dambulla",Matale,Tropical,Temple,Low
Religious Places,"Dambulla Cave Temple, Kandy - Jaffna Highway, Dambulla",Matale,Tropical,Temple,Low
Religious Places,"Dambulla Cave Temple, Kandy - Jaffna Highway, Dambulla",Matale,Tropical,Temple,Low
Religious Places,"Dambulla Cave Temple, Kandy - Jaffna Highway, Dambulla",Matale,Tropical,Temple,Low
Religious Places,"Dambulla Cave Temple, Kandy - Jaffna Highway, Dambulla",Matale,Tropical,Temple,Low
Religious Places,"Dambulla Cave Temple, Kandy - Jaffna Highway, Dambulla",Matale,Tropical,Temple,Low
Religious Places,"Dambulla Cave Temple, Kandy - Jaffna Highway, Dambulla",Matale,Tropical,Temple,Low
Religious Places,"Dambulla Cave Temple, Kandy - Jaffna Highway, Dambulla",Matale,Tropical,Temple,Low
Religious Places,"Dambulla Cave Temple, Kandy - Jaffna Highway, Dambulla",Matale,Tropical,Temple,Low
Religious Places,"Dambulla Cave Temple, Kandy - Jaffna Highway, Dambulla",Matale,Tropical,Temple,Low
Religious Places,"Dambulla Cave Temple, Kandy - Jaffna Highway, Dambulla",Matale,Tropical,Temple,Low
Religious Places,"Dambulla Cave Temple, Kandy - Jaffna Highway, Dambulla",Matale,Tropical,Temple,Low
Religious Places,"Dambulla Cave Temple, Kandy - Jaffna Highway, Dambulla",Matale,Tropical,Temple,Low
Religious Places,"Dambulla Cave Temple, Kandy - Jaffna Highway, Dambulla",Matale,Tropical,Temple,Low
Religious Places,"Dambulla Cave Temple, Kandy - Jaffna Highway, Dambulla",Matale,Tropical,Temple,Low
Religious Places,"Dambulla Cave Temple, Kandy - Jaffna Highway, Dambulla",Matale,Tropical,Temple,Low
Religious Places,"Dambulla Cave Temple, Kandy - Jaffna Highway, Dambulla",Matale,Tropical,Temple,Low
